date,open,high,low,close,volume
2015-08-25,3070.007,3200.108,3019.556,3042.927,27608130600.0
2015-08-26,3062.566,3192.932,2952.008,3025.692,30827062300.0
2015-08-27,3092.812,3206.724,3028.398,3205.638,26729493000.0
2015-08-28,3246.236,3353.244,3223.622,3342.286,29949842600.0
2015-08-31,3307.396,3368.279,3205.537,3366.536,28025040300.0
2015-09-01,3296.529,3370.504,3190.578,3362.083,35245852800.0
2015-09-02,3220.851,3387.02,3213.637,3365.832,34778941200.0
2015-09-07,3347.293,3422.225,3240.243,3250.485,20422443100.0
2015-09-08,3221.789,3340.219,3170.807,3334.023,15459963100.0
2015-09-09,3344.824,3426.651,3330.29,3399.305,22046742100.0
2015-09-10,3349.281,3398.316,3337.311,3357.561,14488297100.0
2015-09-11,3349.877,3383.134,3315.478,3347.188,10854750800.0
2015-09-14,3367.642,3373.921,3187.566,3281.132,20545725100.0
2015-09-15,3208.744,3240.079,3131.98,3152.232,14355564100.0
2015-09-16,3149.158,3345.918,3131.37,3309.248,15970999400.0
2015-09-17,3287.657,3354.905,3236.999,3236.999,16940188100.0
2015-09-18,3254.443,3280.877,3227.834,3251.273,10690348100.0
2015-09-21,3222.603,3312.55,3211.934,3308.247,12278866800.0
2015-09-22,3312.366,3371.414,3303.184,3339.03,14622198500.0
2015-09-23,3290.071,3315.935,3253.333,3263.028,12317143900.0
2015-09-24,3278.896,3300.857,3255.902,3284.999,10201123800.0
2015-09-25,3272.665,3290.858,3201.914,3231.951,12141927800.0
2015-09-28,3226.607,3246.554,3186.507,3242.752,7421946800.0
2015-09-29,3197.221,3208.417,3159.042,3178.854,8715063300.0
2015-09-30,3195.901,3223.908,3186.767,3202.948,7855934900.0
2015-10-08,3324.981,3337.331,3294.605,3296.482,13208176800.0
2015-10-09,3302.3596,3352.3794,3293.965,3340.1159,12435250000.0
2015-10-12,3351.1391,3486.6306,3347.2512,3447.6934,22140046800.0
2015-10-13,3422.4772,3452.0453,3413.9674,3445.0431,14543378600.0
2015-10-14,3431.1352,3458.7015,3403.2305,3406.1116,15217393800.0
2015-10-15,3403.3891,3486.815,3402.3162,3486.815,17115829900.0
2015-10-16,3508.5177,3537.5387,3487.1044,3534.0653,20896470900.0
2015-10-19,3548.9525,3572.9945,3502.5045,3534.1821,20760674400.0
